STATE,COUNTY,TRACTFIPS_STR,POPULATION,BUILDVALUE,AREA,RISK_SCORE,RISK_RATNG,EAL_SCORE,EAL_VALT,SOVI_SCORE,RESL_SCORE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EAL_PER_CAPITA,ALT_EAL_PC_PCTL,ALT_SVI_PCTL,ALT_LACK_RESILIENCE,ALT_RISK_SCORE,ALT_RISK_RATNG,RISK_SCORE_DIFF,ABS_RISK_SCORE_DIFF
Iowa,Adair,19001960100,2698,1237739353.0,276.52694277,98.46360576980248,Very High,97.28726777368064,5957265.240542909,82.21524611,52.50681198910082,0.6386,0.6554,0.3147,0.5814,0.6352,2208.030111394703,95.22501184272856,63.519999999999996,47.49318801089918,75.38323353086273,Relatively High,-23.08037223893976,23.08037223893976
Iowa,Adair,19001960200,1611,964916742.0,260.19525753,89.37485878729503,Relatively High,93.15945228644571,4091313.231358859,28.38417343,52.50681198910082,0.2761,0.1134,0.1377,0.0426,0.0584,2539.610944356834,96.42823306489815,5.84,47.49318801089918,52.85268308083904,Relatively Moderate,-36.52217570645598,36.52217570645598
Iowa,Adair,19001960300,3109,912397969.0,39.30865653,94.88661363014756,Relatively High,93.36143927472578,4141816.38790472,69.30758751,52.50681198910082,0.5275,0.4119,0.224,0.7531,0.5499,1332.2021189786813,86.54666035054477,54.99000000000001,47.49318801089918,68.06597535938002,Relatively High,-26.820638270767546,26.820638270767546
Iowa,Adams,19003950100,1587,770642372.0,344.82451224000005,95.7570784726434,Relatively High,95.74183244474716,4959952.546588,55.06545045,44.96623622793508,0.5522,0.3591,0.1982,0.2783,0.3558,3125.363923495904,97.4893415442918,35.58,55.03376377206492,66.35726826074105,Relatively High,-29.39981021190235,29.39981021190235
Iowa,Adams,19003950200,2117,915012951.0,84.97659885,87.4020429762287,Relatively High,86.57726002301712,3043743.7784527326,56.42006752,44.96623622793508,0.5769,0.8025,0.2632,0.7093,0.6768,1437.7627673371435,88.58360966366651,67.67999999999999,55.03376377206492,75.18968891445967,Relatively High,-12.212354061769034,12.212354061769034
Iowa,Allamakee,19005960100,2081,730943779.0,140.43989232,82.72269986800328,Relatively Moderate,73.29661554360337,2128009.3165362603,79.24480246,31.042530505864235,0.6027,0.2391,0.0347,0.4669,0.3984,1022.5897724825854,78.09568924680246,39.839999999999996,68.95746949413576,61.422680585181475,Relatively High,-21.3000192828218,21.3000192828218
Iowa,Allamakee,19005960200,2404,1011954068.0,220.98356553,84.51238509745163,Relatively High,75.88956478850083,2252674.8253807565,79.05881656,31.042530505864235,0.018,0.0438,0.0392,0.3973,0.0292,937.0527559820118,74.27759355755566,2.92,68.95746949413576,44.93653752502041,Relatively Moderate,-39.575847572431215,39.575847572431215
Iowa,Allamakee,19005960300,3989,1040199108.0,11.94693279,65.30388974111995,Relatively Moderate,56.65382718369073,1538871.6539965952,68.95812356,31.042530505864235,0.6251,0.4759,0.1467,0.5836,0.5488,385.7788052134859,29.360492657508292,54.879999999999995,68.95746949413576,45.5078421199991,Relatively Moderate,-19.79604762112085,19.79604762112085
Iowa,Allamakee,19005960400,2104,910609588.0,189.90630204,83.81791587884841,Relatively Moderate,80.88756840547714,2558463.927908333,61.38660191,31.042530505864235,0.4781,0.0797,0.0011,0.248,0.1627,1215.9999657358997,84.12126954050213,16.27,68.95746949413576,54.70619171734633,Relatively Moderate,-29.11172416150208,29.11172416150208
Iowa,Allamakee,19005960500,3474,1115087035.0,102.14509227,67.62869679997145,Relatively Moderate,69.65380369683162,1970819.8044781592,43.64923296,31.042530505864235,0.8462,0.807,0.9003,0.9068,0.9248,567.3056432003913,48.280435812411184,92.47999999999999,68.95746949413576,69.06181653970539,Relatively High,1.4331197397339395,1.4331197397339395
